player_id,date,market_value_in_eur,current_club_name,current_club_id,player_club_domestic_competition_id
1001,2024-08-01,130000000,Arsenal FC,101,GB1
1002,2024-08-01,90000000,Arsenal FC,101,GB1
1003,2024-08-01,75000000,Chelsea FC,102,GB1
1004,2024-08-01,110000000,Liverpool FC,103,GB1
1005,2024-08-01,45000000,Liverpool FC,103,GB1
1001,2024-09-01,135000000,Arsenal FC,101,GB1
1004,2024-09-01,112000000,Liverpool FC,103,GB1
1003,2026-03-01,85000000,Liverpool FC,103,GB1
1004,2026-03-01,125000000,Liverpool FC,103,GB1
1001,2026-03-01,140000000,Arsenal FC,101,GB1